NEWID,UCC,AMOUNT,AMOUNT_,PUB_FLAG
05780411,900000,172058,,1
05780411,980000,172058,,1
05780411,980010,7,,1
05780411,980020,34,,1
05780411,980030,1,,1
05780411,980040,2,,1
05780411,980050,5,,1
05780411,980090,100,,1
05780411,980220,100,,1
05780411,980230,100,,1
05780411,980281,100,,1
05780411,980286,100,,1
05780411,980310,100,,1
05780411,980330,100,,1
05780412,900000,170571,,1
05780412,980000,170571,,1
05780412,980010,7,,1
05780412,980020,34,,1
05780412,980030,1,,1
05780412,980040,2,,1
05780412,980050,5,,1
05780412,980090,100,,1
05780412,980220,100,,1
05780412,980230,100,,1
05780412,980281,100,,1
05780412,980286,100,,1
05780412,980310,100,,1
05780412,980330,100,,1
05780421,900000,96541,,1
05780421,900150,800,,1
05780421,980000,97341,,1
05780421,980010,2,,1
05780421,980020,49,,1
05780421,980030,2,,1
05780421,980040,3,,1
05780421,980090,100,,1
05780421,980210,100,,1
05780421,980230,100,,1
05780421,980281,100,,1
05780421,980285,100,,1
05780421,980310,100,,1
05780421,980330,100,,1
05780422,900000,73948,,1
05780422,900150,800,,1
05780422,980000,74748,,1
05780422,980010,2,,1
05780422,980020,49,,1
05780422,980030,2,,1
05780422,980040,3,,1
05780422,980090,100,,1
05780422,980210,100,,1
05780422,980230,100,,1
05780422,980281,100,,1
05780422,980285,100,,1
05780422,980310,100,,1
05780422,980330,100,,1
05780521,900030,48095,,1
05780521,980000,48095,,1
05780521,980010,2,,1
05780521,980020,68,,1
05780521,980040,1,,1
05780521,980060,2,,1
05780521,980090,100,,1
05780521,980220,100,,1
05780521,980240,100,,1
05780521,980281,100,,1
05780521,980286,100,,1
05780521,980310,100,,1
05780521,980330,100,,1
05780522,900030,45054,,1
05780522,980000,45054,,1
05780522,980010,2,,1
05780522,980020,68,,1
05780522,980040,1,,1
05780522,980060,2,,1
05780522,980090,100,,1
05780522,980220,100,,1
05780522,980240,100,,1
05780522,980281,100,,1
05780522,980286,100,,1
05780522,980310,100,,1
05780522,980330,100,,1
05780551,800932,150,,1
05780551,900000,75845,,1
05780551,980000,75845,,1
05780551,980010,2,,1
05780551,980020,35,,1
05780551,980030,2,,1
05780551,980040,2,,1
05780551,980090,100,,1
05780551,980220,100,,1
05780551,980230,100,,1
05780551,980281,100,,1
05780551,980286,100,,1
05780551,980310,100,,1
05780551,980330,100,,1
05780552,800932,150,,1
05780552,900000,74210,,1
05780552,980000,74210,,1
05780552,980010,2,,1
05780552,980020,35,,1
05780552,980030,2,,1
05780552,980040,2,,1
05780552,980090,100,,1
05780552,980220,100,,1
05780552,980230,100,,1
05780552,980281,100,,1
05780552,980286,100,,1
05780552,980310,100,,1
05780552,980330,100,,1
05780571,900030,37600,,1
05780571,900170,19200,,1
05780571,980000,56800,,1
05780571,980010,2,,1
05780571,980020,68,,1
05780571,980040,1,,1
05780571,980060,1,,1
05780571,980220,100,,1
05780571,980260,100,,1
05780571,980281,100,,1
05780571,980286,100,,1
05780571,980300,100,,1
05780571,980330,100,,1
05780572,900030,37600,,1
05780572,900170,19200,,1
05780572,980000,56800,,1
05780572,980010,2,,1
05780572,980020,68,,1
05780572,980040,1,,1
05780572,980060,1,,1
05780572,980220,100,,1
05780572,980260,100,,1
05780572,980281,100,,1
05780572,980286,100,,1
05780572,980300,100,,1
05780572,980330,100,,1
05780601,900000,12588,,1
05780601,900160,1,,1
05780601,980000,12589,,1
05780601,980010,2,,1
05780601,980020,28,,1
05780601,980030,2,,1
05780601,980040,2,,1
05780601,980090,100,,1
05780601,980210,100,,1
05780601,980230,100,,1
05780601,980281,100,,1
