NEWID,UCC,AMOUNT,IMPNUM,PUB_FLAG,AMOUNT_
05780411,900000,184415,1,1,
05780411,900000,205491,2,1,
05780411,900000,172744,3,1,
05780411,900000,160982,4,1,
05780411,900000,136660,5,1,
05780411,980000,184415,1,1,
05780411,980000,205491,2,1,
05780411,980000,172744,3,1,
05780411,980000,160982,4,1,
05780411,980000,136660,5,1,
05780412,900000,145516,1,1,
05780412,900000,161713,2,1,
05780412,900000,203194,3,1,
05780412,900000,154407,4,1,
05780412,900000,188027,5,1,
05780412,980000,145516,1,1,
05780412,980000,161713,2,1,
05780412,980000,203194,3,1,
05780412,980000,154407,4,1,
05780412,980000,188027,5,1,
05780421,900000,111035,1,1,
05780421,900000,121578,2,1,
05780421,900000,121045,3,1,
05780421,900000,110992,4,1,
05780421,900000,18054,5,1,
05780421,900150,800,1,1,
05780421,900150,800,2,1,
05780421,900150,800,3,1,
05780421,900150,800,4,1,
05780421,900150,800,5,1,
05780421,980000,111835,1,1,
05780421,980000,122378,2,1,
05780421,980000,121845,3,1,
05780421,980000,111792,4,1,
05780421,980000,18854,5,1,
05780422,900000,20288,1,1,
05780422,900000,109776,2,1,
05780422,900000,106885,3,1,
05780422,900000,61433,4,1,
05780422,900000,71359,5,1,
05780422,900150,800,1,1,
05780422,900150,800,2,1,
05780422,900150,800,3,1,
05780422,900150,800,4,1,
05780422,900150,800,5,1,
05780422,980000,21088,1,1,
05780422,980000,110576,2,1,
05780422,980000,107685,3,1,
05780422,980000,62233,4,1,
05780422,980000,72159,5,1,
05780521,900030,41584,1,1,
05780521,900030,47164,2,1,
05780521,900030,46048,3,1,
05780521,900030,55336,4,1,
05780521,900030,50344,5,1,
05780521,980000,41584,1,1,
05780521,980000,47164,2,1,
05780521,980000,46048,3,1,
05780521,980000,55336,4,1,
05780521,980000,50344,5,1,
05780522,900030,64576,1,1,
05780522,900030,51736,2,1,
05780522,900030,32236,3,1,
05780522,900030,44716,4,1,
05780522,900030,32008,5,1,
05780522,980000,64576,1,1,
05780522,980000,51736,2,1,
05780522,980000,32236,3,1,
05780522,980000,44716,4,1,
05780522,980000,32008,5,1,
05780551,900000,78027,1,1,
05780551,900000,72014,2,1,
05780551,900000,77765,3,1,
05780551,900000,75021,4,1,
05780551,900000,76397,5,1,
05780551,980000,78027,1,1,
05780551,980000,72014,2,1,
05780551,980000,77765,3,1,
05780551,980000,75021,4,1,
05780551,980000,76397,5,1,
05780552,900000,74978,1,1,
05780552,900000,72863,2,1,
05780552,900000,71825,3,1,
05780552,900000,79268,4,1,
05780552,900000,72115,5,1,
05780552,980000,74978,1,1,
05780552,980000,72863,2,1,
05780552,980000,71825,3,1,
05780552,980000,79268,4,1,
05780552,980000,72115,5,1,
05780571,900030,37600,1,1,
05780571,900030,37600,2,1,
05780571,900030,37600,3,1,
05780571,900030,37600,4,1,
05780571,900030,37600,5,1,
05780571,900170,19200,1,1,
05780571,900170,19200,2,1,
05780571,900170,19200,3,1,
05780571,900170,19200,4,1,
05780571,900170,19200,5,1,
05780571,980000,56800,1,1,
05780571,980000,56800,2,1,
05780571,980000,56800,3,1,
05780571,980000,56800,4,1,
05780571,980000,56800,5,1,
05780572,900030,37600,1,1,
05780572,900030,37600,2,1,
05780572,900030,37600,3,1,
05780572,900030,37600,4,1,
05780572,900030,37600,5,1,
05780572,900170,19200,1,1,
05780572,900170,19200,2,1,
05780572,900170,19200,3,1,
05780572,900170,19200,4,1,
05780572,900170,19200,5,1,
05780572,980000,56800,1,1,
05780572,980000,56800,2,1,
05780572,980000,56800,3,1,
05780572,980000,56800,4,1,
05780572,980000,56800,5,1,
05780601,900000,10064,1,1,
05780601,900000,11090,2,1,
05780601,900000,14596,3,1,
05780601,900000,12699,4,1,
05780601,900000,14492,5,1,
05780601,900160,1,1,1,
05780601,900160,1,2,1,
05780601,900160,1,3,1,
05780601,900160,1,4,1,
05780601,900160,1,5,1,
05780601,980000,10065,1,1,
05780601,980000,11091,2,1,
05780601,980000,14597,3,1,
05780601,980000,12700,4,1,
05780601,980000,14493,5,1,
05780602,900000,14523,1,1,
05780602,900000,12916,2,1,
05780602,900000,12069,3,1,
05780602,900000,13695,4,1,
05780602,900000,14143,5,1,
05780602,900160,1,1,1,
05780602,900160,1,2,1,
05780602,900160,1,3,1,
05780602,900160,1,4,1,
05780602,900160,1,5,1,
05780602,980000,14524,1,1,
05780602,980000,12917,2,1,
05780602,980000,12070,3,1,
05780602,980000,13696,4,1,
05780602,980000,14144,5,1,
05780631,900000,130000,1,1,
05780631,900000,130000,2,1,
05780631,900000,130000,3,1,
05780631,900000,130000,4,1,
05780631,900000,130000,5,1,
05780631,980000,130000,1,1,
05780631,980000,130000,2,1,
05780631,980000,130000,3,1,
05780631,980000,130000,4,1,
05780631,980000,130000,5,1,
05780632,900000,130000,1,1,
05780632,900000,130000,2,1,
05780632,900000,130000,3,1,
05780632,900000,130000,4,1,
05780632,900000,130000,5,1,
05780632,980000,130000,1,1,
05780632,980000,130000,2,1,
05780632,980000,130000,3,1,
05780632,980000,130000,4,1,
05780632,980000,130000,5,1,
05780681,900000,158000,1,1,
05780681,900000,158000,2,1,
05780681,900000,158000,3,1,
05780681,900000,158000,4,1,
05780681,900000,158000,5,1,
05780681,980000,158000,1,1,
05780681,980000,158000,2,1,
05780681,980000,158000,3,1,
05780681,980000,158000,4,1,
05780681,980000,158000,5,1,
05780682,900000,158000,1,1,
05780682,900000,158000,2,1,
05780682,900000,158000,3,1,
05780682,900000,158000,4,1,
05780682,900000,158000,5,1,
05780682,980000,158000,1,1,
05780682,980000,158000,2,1,
05780682,980000,158000,3,1,
05780682,980000,158000,4,1,
05780682,980000,158000,5,1,
05780711,900000,70000,1,1,
05780711,900000,70000,2,1,
05780711,900000,70000,3,1,
05780711,900000,70000,4,1,
05780711,900000,70000,5,1,
05780711,980000,70000,1,1,
05780711,980000,70000,2,1,
05780711,980000,70000,3,1,
05780711,980000,70000,4,1,
05780711,980000,70000,5,1,
05780712,900000,70000,1,1,
05780712,900000,70000,2,1,
05780712,900000,70000,3,1,
05780712,900000,70000,4,1,
05780712,900000,70000,5,1,
05780712,980000,70000,1,1,
05780712,980000,70000,2,1,
05780712,980000,70000,3,1,
05780712,980000,70000,4,1,
05780712,980000,70000,5,1,
05780721,900030,47236,1,1,
05780721,900030,47236,2,1,
05780721,900030,47236,3,1,
05780721,900030,47236,4,1,
05780721,900030,47236,5,1,
05780721,900170,1504,1,1,
05780721,900170,1504,2,1,
05780721,900170,1504,3,1,
05780721,900170,1504,4,1,
05780721,900170,1504,5,1,
05780721,900180,1350,1,1,
05780721,900180,1350,2,1,
05780721,900180,1350,3,1,
05780721,900180,1350,4,1,
05780721,900180,1350,5,1,
05780721,980000,50090,1,1,
05780721,980000,50090,2,1,
05780721,980000,50090,3,1,
05780721,980000,50090,4,1,
05780721,980000,50090,5,1,
05780722,900030,47236,1,1,
05780722,900030,47236,2,1,
05780722,900030,47236,3,1,
05780722,900030,47236,4,1,
05780722,900030,47236,5,1,
05780722,900170,1504,1,1,
05780722,900170,1504,2,1,
05780722,900170,1504,3,1,
05780722,900170,1504,4,1,
05780722,900170,1504,5,1,
05780722,900180,1350,1,1,
05780722,900180,1350,2,1,
05780722,900180,1350,3,1,
05780722,900180,1350,4,1,
05780722,900180,1350,5,1,
05780722,980000,50090,1,1,
05780722,980000,50090,2,1,
05780722,980000,50090,3,1,
05780722,980000,50090,4,1,
05780722,980000,50090,5,1,
05780801,900000,72844,1,1,
05780801,900000,75780,2,1,
05780801,900000,70670,3,1,
05780801,900000,71332,4,1,
05780801,900000,74027,5,1,
05780801,980000,72844,1,1,
05780801,980000,75780,2,1,
05780801,980000,70670,3,1,
05780801,980000,71332,4,1,
05780801,980000,74027,5,1,
05780802,900000,73706,1,1,
05780802,900000,82188,2,1,
05780802,900000,74079,3,1,
05780802,900000,82383,4,1,
05780802,900000,77912,5,1,
05780802,980000,73706,1,1,
05780802,980000,82188,2,1,
05780802,980000,74079,3,1,
05780802,980000,82383,4,1,
05780802,980000,77912,5,1,
05780811,800940,6885,1,1,
05780811,800940,6885,2,1,
05780811,800940,6885,3,1,
05780811,800940,6885,4,1,
05780811,800940,6885,5,1,
05780811,900000,100000,1,1,
05780811,900000,100000,2,1,
05780811,900000,100000,3,1,
05780811,900000,100000,4,1,
05780811,900000,100000,5,1,
05780811,900160,30000,1,1,
05780811,900160,30000,2,1,
05780811,900160,30000,3,1,
05780811,900160,30000,4,1,
05780811,900160,30000,5,1,
05780811,900180,300,1,1,
05780811,900180,300,2,1,
05780811,900180,300,3,1,
05780811,900180,300,4,1,
05780811,900180,300,5,1,
05780811,980000,130300,1,1,
05780811,980000,130300,2,1,
05780811,980000,130300,3,1,
05780811,980000,130300,4,1,
05780811,980000,130300,5,1,
05780812,800940,6885,1,1,
05780812,800940,6885,2,1,
05780812,800940,6885,3,1,
05780812,800940,6885,4,1,
05780812,800940,6885,5,1,
05780812,900000,100000,1,1,
05780812,900000,100000,2,1,
05780812,900000,100000,3,1,
05780812,900000,100000,4,1,
05780812,900000,100000,5,1,
05780812,900160,30000,1,1,
05780812,900160,30000,2,1,
05780812,900160,30000,3,1,
05780812,900160,30000,4,1,
05780812,900160,30000,5,1,
05780812,900180,300,1,1,
05780812,900180,300,2,1,
05780812,900180,300,3,1,
05780812,900180,300,4,1,
05780812,900180,300,5,1,
05780812,980000,130300,1,1,
05780812,980000,130300,2,1,
05780812,980000,130300,3,1,
05780812,980000,130300,4,1,
05780812,980000,130300,5,1,
05780901,800940,35302,1,1,T
05780901,800940,35302,2,1,T
05780901,800940,35302,3,1,T
05780901,800940,35302,4,1,T
05780901,800940,35302,5,1,T
05780901,900000,416271,1,1,T
05780901,900000,416271,2,1,T
05780901,900000,416271,3,1,T
05780901,900000,416271,4,1,T
05780901,900000,416271,5,1,T
05780901,900160,86091,1,1,
05780901,900160,38942,2,1,
05780901,900160,71307,3,1,
05780901,900160,90503,4,1,
05780901,900160,76641,5,1,
05780901,900180,121512,1,1,T
05780901,900180,121512,2,1,T
05780901,900180,121512,3,1,T
05780901,900180,121512,4,1,T
05780901,900180,121512,5,1,T
05780901,980000,610480,1,1,T
05780901,980000,610480,2,1,T
05780901,980000,610480,3,1,T
05780901,980000,610480,4,1,T
05780901,980000,610480,5,1,T
05780902,800940,27279,1,1,T
05780902,800940,27279,2,1,T
05780902,800940,27279,3,1,T
05780902,800940,27279,4,1,T
05780902,800940,27279,5,1,T
05780902,900000,416271,1,1,T
05780902,900000,416271,2,1,T
05780902,900000,416271,3,1,T
05780902,900000,416271,4,1,T
05780902,900000,416271,5,1,T
05780902,900160,59720,1,1,
05780902,900160,56307,2,1,
05780902,900160,32120,3,1,
05780902,900160,115887,4,1,
05780902,900160,82529,5,1,
05780902,900180,121512,1,1,T
05780902,900180,121512,2,1,T
05780902,900180,121512,3,1,T
05780902,900180,121512,4,1,T
05780902,900180,121512,5,1,T
05780902,980000,607095,1,1,T
05780902,980000,607095,2,1,T
05780902,980000,607095,3,1,T
05780902,980000,607095,4,1,T
05780902,980000,607095,5,1,T
05780921,900000,55000,1,1,
05780921,900000,55000,2,1,
05780921,900000,55000,3,1,
05780921,900000,55000,4,1,
05780921,900000,55000,5,1,
05780921,900030,9440,1,1,
05780921,900030,21860,2,1,
05780921,900030,20552,3,1,
05780921,900030,16520,4,1,
05780921,900030,33284,5,1,
05780921,900170,20000,1,1,
05780921,900170,20000,2,1,
05780921,900170,20000,3,1,
05780921,900170,20000,4,1,
05780921,900170,20000,5,1,
05780921,900180,2000,1,1,
05780921,900180,2000,2,1,
05780921,900180,2000,3,1,
05780921,900180,2000,4,1,
05780921,900180,2000,5,1,
05780921,980000,86440,1,1,
05780921,980000,98860,2,1,
05780921,980000,97552,3,1,
05780921,980000,93520,4,1,
05780921,980000,110284,5,1,
05780922,900000,55000,1,1,
05780922,900000,55000,2,1,
05780922,900000,55000,3,1,
05780922,900000,55000,4,1,
05780922,900000,55000,5,1,
05780922,900030,14600,1,1,
05780922,900030,24200,2,1,
05780922,900030,23972,3,1,
05780922,900030,14900,4,1,
05780922,900030,15320,5,1,
05780922,900170,20000,1,1,
05780922,900170,20000,2,1,
05780922,900170,20000,3,1,
05780922,900170,20000,4,1,
05780922,900170,20000,5,1,
05780922,900180,2000,1,1,
05780922,900180,2000,2,1,
05780922,900180,2000,3,1,
05780922,900180,2000,4,1,
05780922,900180,2000,5,1,
05780922,980000,91600,1,1,
05780922,980000,101200,2,1,
05780922,980000,100972,3,1,
05780922,980000,91900,4,1,
05780922,980000,92320,5,1,
05780961,800940,17651,1,1,T
05780961,800940,17651,2,1,T
05780961,800940,17651,3,1,T
05780961,800940,17651,4,1,T
05780961,800940,17651,5,1,T
05780961,900000,356271,1,1,T
05780961,900000,356271,2,1,T
05780961,900000,356271,3,1,T
05780961,900000,356271,4,1,T
05780961,900000,356271,5,1,T
05780961,900160,149584,1,1,T
05780961,900160,149584,2,1,T
05780961,900160,149584,3,1,T
05780961,900160,149584,4,1,T
05780961,900160,149584,5,1,T
05780961,980000,505855,1,1,T
05780961,980000,505855,2,1,T
05780961,980000,505855,3,1,T
05780961,980000,505855,4,1,T
05780961,980000,505855,5,1,T
05780962,800940,17651,1,1,T
05780962,800940,17651,2,1,T
05780962,800940,17651,3,1,T
05780962,800940,17651,4,1,T
05780962,800940,17651,5,1,T
05780962,900000,356271,1,1,T
05780962,900000,356271,2,1,T
05780962,900000,356271,3,1,T
05780962,900000,356271,4,1,T
05780962,900000,356271,5,1,T
05780962,900160,55107,1,1,
05780962,900160,119427,2,1,
05780962,900160,121182,3,1,
05780962,900160,25503,4,1,
05780962,900160,530,5,1,
05780962,980000,420621,1,1,T
05780962,980000,420621,2,1,T
05780962,980000,420621,3,1,T
05780962,980000,420621,4,1,T
05780962,980000,420621,5,1,T
05780971,900030,21672,1,1,
05780971,900030,3408,2,1,
05780971,900030,21192,3,1,
05780971,900030,20508,4,1,
05780971,900030,19836,5,1,
05780971,900180,185,1,1,
05780971,900180,101,2,1,
05780971,900180,20,3,1,
05780971,900180,6425,4,1,
05780971,900180,751,5,1,
05780971,900190,17676,1,1,
05780971,900190,9676,2,1,
05780971,900190,37275,3,1,
05780971,900190,-4979,4,1,
05780971,900190,2570,5,1,
05780971,980000,39533,1,1,
05780971,980000,13185,2,1,
