OCCULIST,HRSPERWK,WKS_WRKD,EMPLTYPE,MARITAL,HISPANIC,WHYNOWRK,MEMBRACE,SEX,HRSP_RWK,WKS__RKD,EMPL_YPE,HISP_NIC,WHYN_WRK,OCCU_IST,NEWID,AGE,AGE_,ANGVX,ANGVX_,ANPVTX,ANPVTX_,ANRRX,ANRRX_,CU_CODE1,EDUCA,EDUCA_,GROSPAYX,GROS_AYX,GVX,GVX_,IRAX,IRAX_,JSSDEDX,JSSDEDX_,MEMBNO,PVTX,PVTX_,RRX,RRX_,SCHLNCHQ,SCHL_CHQ,SCHLNCHX,SCHL_CHX,SLFEMPSS,SLFE_PSS,SS_RRX,SS_RRX_,SUPPX,SUPPX_,US_SUPP,US_SUPP_,WAGEX,WAGEX_,SS_RRQ,SS_RRQ_,SOCRRX,SOCRRX_,ARM_FORC,ARM__ORC,IN_COLL,IN_COLL_,MEDICARE,MEDI_ARE,PAYPERD,PAYPERD_,HORIGIN,RC_WHITE,RC_W_ITE,RC_BLACK,RC_B_ACK,RC_NATAM,RC_N_TAM,RC_ASIAN,RC_A_IAN,RC_PACIL,RC_P_CIL,RC_OTHER,RC_O_HER,RC_DK,RC_DK_,ANGVXM,ANGVXM_,ANPVTXM,ANPVTXM_,ANRRXM,ANRRXM_,JSSDEDXM,JSSD_DXM,JSSDEDX1,JSSDEDX2,JSSDEDX3,JSSDEDX4,JSSDEDX5,SLFEMPSM,SLFE_PSM,SLFEMPS1,SLFEMPS2,SLFEMPS3,SLFEMPS4,SLFEMPS5,SOCRRXM,SOCRRXM_,SOCRRX1,SOCRRX2,SOCRRX3,SOCRRX4,SOCRRX5,SS_RRXM,SS_RRXM_,SS_RRX1,SS_RRX2,SS_RRX3,SS_RRX4,SS_RRX5,SS_RRXI,SUPPXM,SUPPXM_,SUPPX1,SUPPX2,SUPPX3,SUPPX4,SUPPX5,SUPPXI,WAGEXM,WAGEXM_,WAGEX1,WAGEX2,WAGEX3,WAGEX4,WAGEX5,WAGEXI,SS_RRB,SS_RRB_,SS_RRBX,SS_RRBX_,SUPPB,SUPPB_,SUPPBX,SUPPBX_,WAGEB,WAGEB_,WAGEBX,WAGEBX_,ASIAN,ASIAN_,OCCUEARN,PAYSTUB,PAYSTUB_,SEMPFRM,SEMPFRM_,SEMPFRMX,SEMP_RMX,SMPFRMB,SMPFRMB_,SMPFRMBX,SMPF_MBX,SEMPFRM1,SEMPFRM2,SEMPFRM3,SEMPFRM4,SEMPFRM5,SEMPFRMI,SEMPFRMM,SEMP_RMM,SOCSRRET,SOCS_RET,WKSTATUS,VETERAN,VETERAN_
03,40,52,1,1,,,1,1,D,D,D,A,A,D,05689401,38,D,,A,34570,T,,A,1,4,D,3500,D,,A,300,D,22330,T,1,300,D,,A,,A,,A,0,D,,A,,A,2,D,467524,T,,A,0,D,2,D,3,D,,A,2,D,2,1,D,,A,,A,,A,,A,,A,,A,,A,34173,T,,A,0.0,D,0,0,0,0,0,0.0,D,0,0,0,0,0,,A,,,,,,,A,,,,,,100,,A,,,,,,100,356271.2,T,356271,356271,356271,356271,356271,100,,A,,A,,A,,A,,A,,A,,A,103,2,D,2,D,,A,,A,,A,,,,,,100,,A,2,D,1,2,D
02,40,32,3,1,,,1,2,D,D,D,A,A,D,05689401,33,D,,B,,A,,A,2,8,D,2500,D,,C,,A,4743,D,2,,A,,A,,A,,A,0,D,,A,,A,2,D,62000,D,,A,0,D,2,D,3,D,,A,2,D,2,1,D,,A,,A,,A,,A,,A,,A,,B,,A,,A,0.0,D,0,0,0,0,0,0.0,D,0,0,0,0,0,,A,,,,,,,A,,,,,,100,,A,,,,,,100,62000.0,D,62000,62000,62000,62000,62000,100,,A,,A,,A,,A,,A,,A,,A,102,2,D,2,D,,A,,A,,A,,,,,,100,,A,2,D,1,2,D
03,40,52,1,1,,,1,1,D,D,D,A,A,D,05689402,38,D,,A,34570,T,,A,1,4,D,3500,D,,A,300,D,22330,T,1,300,D,,A,,A,,A,0,D,,A,,A,2,D,467524,T,,A,0,D,2,D,3,D,,A,2,D,2,1,D,,A,,A,,A,,A,,A,,A,,A,34173,T,,A,0.0,D,0,0,0,0,0,0.0,D,0,0,0,0,0,,A,,,,,,,A,,,,,,100,,A,,,,,,100,356271.2,T,356271,356271,356271,356271,356271,100,,A,,A,,A,,A,,A,,A,,A,103,2,D,2,D,,A,,A,,A,,,,,,100,,A,2,D,1,2,D
02,40,32,3,1,,,1,2,D,D,D,A,A,D,05689402,33,D,,B,,A,,A,2,8,D,2500,D,,C,,A,4743,D,2,,A,,A,,A,,A,0,D,,A,,A,2,D,62000,D,,A,0,D,2,D,3,D,,A,2,D,2,1,D,,A,,A,,A,,A,,A,,A,,B,,A,,A,0.0,D,0,0,0,0,0,0.0,D,0,0,0,0,0,,A,,,,,,,A,,,,,,100,,A,,,,,,100,62000.0,D,62000,62000,62000,62000,62000,100,,A,,A,,A,,A,,A,,A,,A,102,2,D,2,D,,A,,A,,A,,,,,,100,,A,2,D,1,2,D
06,50,52,5,5,,,1,1,D,D,D,A,A,D,05689411,42,D,,A,,A,,A,1,5,D,,C,,A,,C,0,D,1,,A,,A,,A,,A,0,D,,A,,A,2,D,,C,,A,0,D,2,D,3,D,,A,3,D,2,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,17650.8,T,17651,17651,17651,17651,17651,4050.8,D,3123,7370,906,8537,318,,A,,,,,,,A,,,,,,100,,A,,,,,,100,77133.2,D,115215,100000,82967,15494,71990,201,,A,,A,,A,,A,,C,,B,,A,206,2,D,1,D,,B,,B,,B,20411,48170,5924,55799,2080,201,26477,D,2,D,2,2,D
06,50,52,5,5,,,1,1,D,D,D,A,A,D,05689412,42,D,,A,,A,,A,1,5,D,,C,,A,,C,0,D,1,,A,,A,,A,,A,0,D,,A,,A,2,D,,C,,A,0,D,2,D,3,D,,A,3,D,2,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,17650.8,T,17651,17651,17651,17651,17651,6768.2,D,38,5129,6384,15635,6655,,A,,,,,,,A,,,,,,100,,A,,,,,,100,118911.4,D,100873,144466,144114,76284,128820,201,,A,,A,,A,,A,,C,,B,,A,206,2,D,1,D,,B,,B,,B,249,33524,41723,102188,43494,201,44236,D,2,D,2,2,D
,,0,,2,,1,1,2,A,D,A,A,D,A,05689421,88,T,,A,,A,,A,1,5,D,,A,,A,,A,,A,1,,A,,A,,A,,A,,A,1500,D,,A,2,D,,A,1,D,1500,D,,A,3,D,2,D,,A,2,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,,,,,A,,,,,,1500.0,D,1500,1500,1500,1500,1500,1500.0,D,1500,1500,1500,1500,1500,100,,A,,,,,,100,,A,,,,,,100,,A,,A,,A,,A,,A,,A,,A,930,,A,2,D,,A,,A,,A,,,,,,100,,A,1,D,,2,D
,,0,,2,,1,1,2,A,D,A,A,D,A,05689422,88,T,,A,,A,,A,1,5,D,,A,,A,,A,,A,1,,A,,A,,A,,A,,A,1500,D,,A,2,D,,A,1,D,1500,D,,A,3,D,2,D,,A,2,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,,,,,,A,,,,,,1500.0,D,1500,1500,1500,1500,1500,1500.0,D,1500,1500,1500,1500,1500,100,,A,,,,,,100,,A,,,,,,100,,A,,A,,A,,A,,A,,A,,A,930,,A,2,D,,A,,A,,A,,,,,,100,,A,1,D,,2,D
01,40,52,1,2,,,1,2,D,D,D,A,A,D,05689431,62,D,,A,,A,,A,1,7,D,,C,,A,,A,3290,D,1,,A,,A,,A,,A,0,D,,A,,A,2,D,,C,,A,0,D,2,D,3,D,,A,2,D,2,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,0.0,D,0,0,0,0,0,0.0,D,0,0,0,0,0,,A,,,,,,,A,,,,,,100,,A,,,,,,100,43931.6,D,42618,42965,41791,42783,49501,301,,A,,A,,A,,A,07,D,43000,D,,A,101,2,D,2,D,,A,,A,,A,,,,,,100,,A,2,D,1,2,D
01,40,52,1,2,,,1,2,D,D,D,A,A,D,05689432,62,D,,A,,A,,A,1,7,D,,C,,A,,A,3290,D,1,,A,,A,,A,,A,0,D,,A,,A,2,D,,C,,A,0,D,2,D,3,D,,A,2,D,2,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,0.0,D,0,0,0,0,0,0.0,D,0,0,0,0,0,,A,,,,,,,A,,,,,,100,,A,,,,,,100,46205.0,D,49127,44067,44675,48762,44394,301,,A,,A,,A,,A,07,D,43000,D,,A,101,2,D,2,D,,A,,A,,A,,,,,,100,,A,2,D,1,2,D
