File,Quarter,Rows,Columns,Memory_MB,Missing_%,Unique_IDs,Duplicates
fmld,Q1,3053,382,23.19,27.68,3053,0
fmld,Q2,3159,382,23.7,28.75,3159,0
fmld,Q3,3190,382,23.93,28.71,3190,0
fmld,Q4,3105,382,23.3,28.78,3105,0
memd,Q1,6959,170,29.27,40.97,3053,0
memd,Q2,7188,170,30.23,40.76,3159,0
memd,Q3,7425,170,31.23,40.97,3190,0
memd,Q4,7254,170,30.51,41.13,3105,0
expd,Q1,99697,13,28.9,0.41,2909,4482
expd,Q2,105338,13,30.54,0.39,3012,4474
expd,Q3,104674,13,30.35,0.43,3006,4599
expd,Q4,106562,13,30.89,0.4,2960,5194
dtbd,Q1,43450,5,2.67,19.6,3053,0
dtbd,Q2,44736,5,2.75,19.59,3159,0
dtbd,Q3,45296,5,2.79,19.62,3190,0
dtbd,Q4,44160,5,2.72,19.59,3105,0
dtid,Q1,46055,6,3.25,15.44,3051,0
dtid,Q2,47415,6,3.34,15.43,3157,0
dtid,Q3,48375,6,3.4,15.53,3188,0
dtid,Q4,46615,6,3.29,15.36,3101,0
