NEWID,UCC,AMOUNT,AMOUNT_,PUB_FLAG
05907801,900000,39549,,1
05907801,980000,39549,,1
05907801,980010,2,,1
05907801,980020,67,,1
05907801,980030,1,,1
05907801,980060,2,,1
05907801,980090,100,,1
05907801,980220,100,,1
05907801,980250,100,,1
05907801,980281,100,,1
05907801,980286,100,,1
05907801,980310,100,,1
05907802,900000,56145,,1
05907802,980000,56145,,1
05907802,980010,2,,1
05907802,980020,67,,1
05907802,980030,1,,1
05907802,980060,2,,1
05907802,980090,100,,1
05907802,980220,100,,1
05907802,980250,100,,1
05907802,980281,100,,1
05907802,980286,100,,1
05907802,980310,100,,1
05907811,900000,145000,,1
05907811,980000,145000,,1
05907811,980010,1,,1
05907811,980020,28,,1
05907811,980030,1,,1
05907811,980220,100,,1
05907811,980260,100,,1
05907811,980282,100,,1
05907811,980286,100,,1
05907811,980310,100,,1
05907812,900000,145000,,1
05907812,980000,145000,,1
05907812,980010,1,,1
05907812,980020,28,,1
05907812,980030,1,,1
05907812,980220,100,,1
05907812,980260,100,,1
05907812,980282,100,,1
05907812,980286,100,,1
05907812,980310,100,,1
05907831,800932,600,,1
05907831,900000,40000,,1
05907831,900180,80,,1
05907831,980000,40080,,1
05907831,980010,1,,1
05907831,980020,23,,1
05907831,980030,1,,1
05907831,980040,1,,1
05907831,980220,100,,1
05907831,980260,100,,1
05907831,980282,100,,1
05907831,980286,100,,1
05907831,980310,100,,1
05907831,980330,100,,1
05907832,800932,600,,1
05907832,900000,40000,,1
05907832,900180,65,,1
05907832,980000,40065,,1
05907832,980010,1,,1
05907832,980020,23,,1
05907832,980030,1,,1
05907832,980040,1,,1
05907832,980220,100,,1
05907832,980260,100,,1
05907832,980282,100,,1
05907832,980286,100,,1
05907832,980310,100,,1
05907832,980330,100,,1
05907851,900000,39900,,1
05907851,900160,30000,,1
05907851,980000,69900,,1
05907851,980010,4,,1
05907851,980020,40,,1
05907851,980030,2,,1
05907851,980040,1,,1
05907851,980050,2,,1
05907851,980220,100,,1
05907851,980260,100,,1
05907851,980281,100,,1
05907851,980286,100,,1
05907851,980310,100,,1
05907851,980330,100,,1
